Gene Symbol	RefSeq ID	Transcript Length	LVST #1	LVST #2	LVST #3	LVST #4	LVS #5	LVST #6	cMVST #1	cMVST #2	cMVST #3	Caudal Control #1 	Caudal Control #2	Caudal Control #3	Caudal Control #4	Medial Control #1	Medial Control #2	Medial Control #3	Medial Control #4
0610007P14Rik	NM_021446	1185	692	357	382	272	765	216	490	11	268	428	563	257	177	328	493	668	449
0610009B22Rik	NM_025319	795	704	691	177	251	526	479	290	271	283	220	135	164	271	735	696	1165	755
0610009O20Rik	NM_024179	2404	518	520	327	168	328	262	90	1447	107	255	418	147	350	213	325	442	286
0610010B08Rik	NM_001177543	4539	1	1	0	0	3	2	1	0	5	0	0	0	0	4	7	15	9
0610010B08Rik	NM_001177543	4539	0	0	0	0	3	0	0	0	1	0	0	0	0	1	0	1	0
0610010B08Rik	NM_001177543	4539	0	0	0	0	2	1	0	1	2	1	0	0	0	2	1	4	0
0610010F05Rik	NM_027860	4140	4005	4027	1823	1942	4334	5025	1681	2829	3003	1884	1804	1022	938	5218	4839	8021	5019
0610010K14Rik	NM_001177601	885	772	1103	533	357	466	344	209	343	301	840	913	228	152	148	320	402	247
0610010K14Rik	NM_001177603	780	762	1072	502	347	462	341	209	326	281	817	846	219	148	136	313	388	240
0610010K14Rik	NM_001177606	678	736	935	486	328	459	338	204	326	275	769	782	212	139	134	303	376	238
0610010K14Rik	NM_001177607	705	736	944	488	328	459	338	204	326	276	769	782	213	139	134	303	376	238
0610010K14Rik	NM_026757	779	746	966	517	337	463	341	204	343	295	792	849	221	143	146	310	390	245
0610010K14Rik	NM_145758	881	772	1103	533	356	466	344	209	343	301	840	913	228	152	148	320	402	247
0610011F06Rik	NM_026686	811	170	186	41	114	15	158	34	69	99	61	50	49	37	66	139	181	108
0610012G03Rik	NR_027897	1471	413	318	414	503	180	766	227	628	331	367	284	266	298	314	333	472	281
0610030E20Rik	NM_026696	4632	232	380	174	133	214	1	135	91	342	360	364	153	228	453	395	707	392
0610037L13Rik	NM_028754	1551	539	606	237	312	338	808	146	227	297	366	206	169	242	332	498	843	516
0610038B21Rik	NR_028125	1523	113	9	0	0	0	0	3	0	0	9	0	5	0	2	4	3	4
0610039K10Rik	NR_028113	951	52	52	12	12	3	0	6	0	4	39	21	20	8	4	14	15	11
0610040B10Rik	NR_027874	438	46	54	6	3	71	0	14	0	0	38	128	14	1	72	113	153	92
0610040J01Rik	NM_029554	1870	8	33	0	2	0	0	0	1	0	0	0	0	17	20	17	18	18
1110001J03Rik	NM_025363	441	357	1299	204	220	308	479	100	15	384	426	330	209	110	78	238	330	207
1110002L01Rik	NR_030694	3300	787	987	387	477	1786	1765	726	220	250	371	409	373	495	683	840	1338	877
1110004E09Rik	NM_026502	1163	373	801	259	171	293	396	156	79	525	230	342	84	52	304	438	653	370
1110004F10Rik	NM_019772	1400	1092	1051	662	586	1515	1775	1054	1449	657	998	736	560	402	1629	1745	3022	1919
1110006O24Rik	NR_027810	768	26	45	7	7	1	5	5	0	0	0	7	1	0	10	14	13	9
1110007C09Rik	NM_026738	804	20	29	8	64	38	23	35	19	89	76	123	14	36	27	37	67	25
1110008F13Rik	NM_026124	1048	692	654	290	224	294	599	216	300	429	635	444	193	212	402	393	589	360
1110008L16Rik	NM_025373	3117	510	615	114	369	288	1064	333	21	643	455	351	162	250	242	305	513	301
1110008P14Rik	NM_198001	657	1138	1348	523	522	800	1142	203	1091	244	531	453	158	121	90	180	280	161
1110012L19Rik	NM_026787	1057	79	72	36	27	182	50	15	19	109	60	34	44	30	74	75	157	107
1110017D15Rik	NM_001048005	1114	21	85	14	15	123	0	3	93	20	1	1	28	2	16	33	51	23
1110017D15Rik	NM_028624	721	16	33	14	17	135	0	1	96	9	0	1	26	2	16	25	44	23
1110020A21Rik	NR_027929	591	21	0	0	0	0	0	0	0	129	7	0	2	4	14	9	27	5
1110020A21Rik	NR_027930	852	22	25	28	0	0	0	0	0	287	33	0	14	13	61	52	71	40
1110032A03Rik	NM_023483	1782	848	564	125	99	307	358	95	677	180	634	174	84	66	311	368	651	359
1110032F04Rik	NM_001167996	2577	7	31	11	8	2	0	0	53	0	21	0	9	0	30	37	62	53
1110034B05Rik	NM_001114102	709	27	36	1	10	6	13	15	83	13	38	36	8	4	47	68	90	49
1110034B05Rik	NR_004860	1394	115	85	14	48	364	175	178	160	693	119	110	37	21	336	287	480	238
1110034G24Rik	NM_028637	1470	376	17	26	51	239	182	6	0	102	21	48	33	19	29	51	95	39
1110037F02Rik	NM_001081183	7115	642	905	246	215	1367	394	272	68	616	535	1823	518	481	1328	1724	2706	1639
1110038B12Rik	NR_015536	437	399	535	157	230	667	716	63	98	259	397	378	242	189	298	337	504	288
1110038B12Rik	NR_027943	584	503	740	198	288	768	861	75	119	328	527	501	322	241	343	398	581	358
1110038F14Rik	NM_054099	1091	241	11	16	31	257	37	64	1	242	69	3	58	34	95	139	209	167
1110051M20Rik	NM_175123	1979	594	716	190	341	745	402	82	472	396	543	336	170	199	266	349	542	359
1110059E24Rik	NM_025423	1428	317	303	306	217	619	166	689	1670	207	502	322	276	158	661	668	974	546
1110059G10Rik	NM_025419	3361	75	123	48	72	105	165	61	103	147	129	184	158	107	247	290	463	290
1110065P20Rik	NM_001142727	762	317	345	336	240	400	518	79	717	132	315	43	115	99	147	192	285	184
1190002N15Rik	NM_001033145	3950	565	663	180	229	341	349	26	22	31	515	838	316	311	2570	2469	3979	2218
1190005I06Rik	NM_197988	734	21	21	31	25	0	0	0	1	77	41	1	1	4	4	2	10	7
1190007I07Rik	NM_001135567	747	13	21	11	22	44	2	14	19	19	23	30	20	4	38	29	39	21
1190007I07Rik	NM_001135568	618	12	21	11	20	44	2	14	19	19	20	29	19	4	38	28	39	20
1190007I07Rik	NM_001135569	559	12	21	9	19	44	2	14	19	19	19	28	19	4	38	28	38	20
1200014J11Rik	NM_025818	6284	889	723	300	277	1171	977	170	114	709	812	459	324	297	773	892	1410	897
1300017J02Rik	NM_027918	2275	0	0	0	0	0	0	0	6	0	16	30	0	0	0	3	5	2
1500004A13Rik	NR_015498	3629	981	1258	122	149	637	482	347	170	386	658	700	131	189	884	1293	1882	1115
1500009L16Rik	NM_001145198	1193	300	188	161	151	152	72	17	81	5	168	196	64	78	156	223	318	196
1500010J02Rik	NR_026565	4150	1092	845	175	255	537	474	401	313	418	840	747	375	324	406	579	899	495
1500011B03Rik	NR_027817	1332	713	1308	263	328	811	1437	221	430	176	1519	1397	191	320	313	482	808	488
1500011B03Rik	NR_027818	603	58	100	75	90	15	236	31	0	316	273	178	87	86	100	162	236	157
1500011K16Rik	NR_015476	808	170	281	117	65	180	161	88	3	353	211	84	87	3	60	112	163	92
1500012F01Rik	NM_001081005	738	290	248	252	204	809	859	281	403	881	362	180	398	541	488	506	799	468
1500015A07Rik	NR_029432	1862	76	50	51	25	229	119	31	0	23	61	62	49	146	108	110	259	127
1500015O10Rik	NM_024283	888	1	49	0	11	0	0	0	0	0	9	26	20	0	19	25	28	15
1500017E21Rik	NR_033510	2662	75	35	36	86	41	58	70	4	71	25	100	77	41	381	406	679	451
1600002H07Rik	NM_028056	2143	436	68	56	57	27	541	160	65	98	13	380	53	10	114	153	243	119
1600002K03Rik	NM_027207	651	17	72	77	11	45	115	42	55	324	18	5	37	9	82	71	136	90
1600012H06Rik	NM_001083880	2504	297	702	174	216	684	359	496	755	216	259	456	117	330	1131	907	1473	875
1600012H06Rik	NM_001083881	2574	297	704	174	216	684	359	496	755	216	266	458	117	330	1131	907	1474	876
1600012H06Rik	NM_001083882	2756	298	705	175	216	684	359	496	755	216	269	472	119	331	1131	909	1476	876
1600012H06Rik	NM_026451	2509	297	702	174	216	684	359	496	755	216	259	457	117	330	1131	907	1473	875
1600014C10Rik	NM_001085385	3338	407	732	196	113	472	733	166	103	112	192	126	148	32	221	304	410	297
1600014C10Rik	NM_028166	3146	407	732	193	113	472	732	164	103	112	192	126	148	32	220	300	409	291
1600014K23Rik	NM_028046	838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
1600015I10Rik	NM_001081273	2483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600029I14Rik	NR_028123	864	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	1
1600029O15Rik	NR_033522	1809	669	217	55	34	121	4	1	1	0	0	1	2	1	28	17	35	22
1700001C02Rik	NM_029285	712	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
1700001C19Rik	NM_001172091	1339	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700001C19Rik	NM_029296	1621	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1700001F09Rik	NM_027940	883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001G17Rik	NR_033199	889	106	0	16	2	0	0	0	0	22	2	4	2	19	4	9	14	7
1700001J03Rik	NM_001008547	778	0	8	6	0	0	0	0	0	0	0	0	0	4	7	5	4	6
1700001J11Rik	NR_033613	2468	0	0	0	0	0	0	1	0	0	0	0	1	0	4	4	10	6
1700001K19Rik	NM_025488	954	54	86	0	2	28	0	27	0	8	36	150	6	3	10	9	18	10
1700001K23Rik	NR_036590	486	1	0	2	0	0	0	0	0	0	0	0	0	0	4	1	2	3
1700001L05Rik	NR_027980	6002	5	60	0	0	205	10	0	0	0	69	0	0	0	7	11	26	21
1700001L19Rik	NM_027035	1808	118	125	97	126	654	260	222	3	108	131	0	36	0	30	40	94	40
1700001O22Rik	NM_198000	1402	0	0	0	4	0	0	0	35	54	0	0	2	5	15	13	29	8
1700001O22Rik	NR_028486	978	0	0	0	4	0	0	0	35	54	0	0	2	5	15	13	29	8
1700001O22Rik	NR_028487	942	0	0	0	4	0	0	0	35	54	0	0	2	5	15	13	29	8
1700001P01Rik	NM_028156	624	0	0	8	4	0	0	5	0	36	7	11	1	0	8	6	18	12
1700003E16Rik	NM_027948	2050	1	2	1	17	0	33	0	0	11	11	0	0	0	5	7	7	11
1700003F12Rik	NM_029305	733	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	2
1700003G18Rik	NR_029433	620	2	0	0	0	0	24	0	0	0	0	0	0	0	0	2	1	1
1700003H04Rik	NR_015460	757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003M02Rik	NM_027041	1715	135	204	11	58	29	57	6	16	0	0	0	4	3	24	22	42	22
1700006A11Rik	NM_027939	1983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	NM_029287	696	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1700007B14Rik	NM_001164235	2159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	NM_027944	2041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	NM_001024614	861	0	0	0	25	0	0	0	0	0	0	0	0	0	4	1	12	9
1700007K09Rik	NM_027037	676	0	0	2	0	0	0	4	0	0	4	1	4	0	1	8	5	2
1700007K13Rik	NM_027040	804	0	2	0	29	0	0	0	0	0	0	0	0	16	8	14	14	7
1700008F21Rik	NM_001168369	1537	0	5	1	0	22	0	1	0	0	0	0	1	5	11	8	14	7
1700008F21Rik	NM_029292	1047	0	5	1	0	22	0	1	0	0	0	0	1	2	11	7	14	7
1700008I05Rik	NM_027952	1776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	NR_024331	2432	249	188	44	62	203	219	42	23	127	172	46	47	44	144	177	208	141
1700008O03Rik	NM_027049	910	97	52	20	35	140	123	164	9	239	75	18	12	28	73	42	56	45
1700008P02Rik	NM_027048	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009J07Rik	NR_015547	914	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700009N14Rik	NM_001081095	1262	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1700010D01Rik	NM_029590	499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2
1700010I14Rik	NM_025851	1878	2	21	10	22	119	1	134	69	98	0	41	18	7	107	56	138	78
1700011A15Rik	NM_025487	903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1700011E24Rik	NM_029298	847	1	0	0	40	0	0	0	0	17	7	0	7	1	0	2	2	2
1700011H14Rik	NM_025956	1167	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0
1700011I03Rik	NM_029290	967	0	0	0	0	0	18	0	0	0	0	0	0	0	1	3	1	0
1700011L22Rik	NM_026315	977	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4
1700012A03Rik	NM_029587	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	NM_001162428	1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	NM_027038	939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	NM_029306	683	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1
1700012D14Rik	NR_015573	629	5	0	0	0	2	0	0	0	41	14	3	22	0	13	18	20	11
1700012L04Rik	NM_029588	525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1700012P22Rik	NM_027056	972	0	0	0	0	0	0	0	0	0	0	0	0	0	9	11	9	7
1700013D24Rik	NM_001177502	532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1700013F07Rik	NM_029314	592	3	0	1	1	0	15	0	0	0	0	0	1	0	4	2	3	3
1700013G24Rik	NM_027063	1036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013N18Rik	NR_003639	1512	0	12	0	1	1	0	8	1	0	7	4	2	0	8	8	15	8
1700015E13Rik	NM_001039593	713	0	0	0	0	0	0	0	23	0	1	0	0	0	5	2	4	2
1700016C15Rik	NM_027077	749	2	0	0	0	1	0	0	0	0	1	0	2	3	6	8	17	5
1700016D06Rik	NM_024271	1263	2	0	0	0	0	2	0	0	0	0	0	0	0	5	3	8	5
1700016H13Rik	NM_001163550	786	80	16	0	0	0	0	0	0	0	0	0	0	0	1	1	3	6
1700016H13Rik	NM_028824	937	80	16	0	0	0	0	0	0	0	0	0	0	0	1	1	3	6
1700016K19Rik	NM_198637	921	55	37	0	0	0	0	0	0	0	4	0	0	0	2	4	18	5
1700017B05Rik	NM_028820	4933	11	44	0	0	0	0	2	0	0	0	3	20	116	24	41	57	54
1700017D01Rik	NM_027058	1194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	NM_001081246	1690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	NR_029439	714	0	0	0	0	0	0	0	0	0	0	0	0	19	6	2	9	4
